NUMERO_PLACA,MARCA,COLOR,ANIO DE MATRICULA,MODELO,CLASE,FECHA DE MATRICULA,ANIO,SERVICIO,FECHA DE CADUCIDAD
CBA3492,MAZDA,AZUL,2018,BT-50 STD GAS FL 2.6 CD 4X2 TM,CAMIONETA,13-03-2018,2016,USO PARTICULAR,12-03-2023,
CBO0444,KIA,ROJO,2016,SPORTAGE LX 2.0L 4X2 GSL,VEH. UTILITARIO,06-04-2016,2009,USO PARTICULAR,05-04-2021,
CBO0634,KIA,BLANCO,2020,SPORTAGE LX 2.0L 4X2 GSL,VEH. UTILITARIO,28-10-2020,2009,USO PARTICULAR,27-10-2025,
CEA0247,MAZDA,PLOMO,2015,BT-50 CD 4X4 STD GAS 2.6,CAMIONETA,27-08-2015,2008,USO ESTATAL,30-12-2018,
CEA0250,NISSAN DIESEL,AMARILLO,2018,PKC212EHLB,VEHICULO ESPECIAL,28-12-2018,2009,USO ESTATAL,30-11-2023,
CEA0251,MAZDA,BLANCO,2019,BT-50 CH 4X4 STD COL GAS 2.6,VEHICULO ESPECIAL,26-08-2019,2009,USO ESTATAL,30-08-2024,
CEA1056,CHEVROLET,BLANCO,2020,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,17-07-2020,2009,USO ESTATAL,03-08-2022,
CEA1061,CHEVROLET,BLANCO,2020,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,04-03-2020,2009,USO ESTATAL,03-03-2025,
CEA1071,CHEVROLET,BLANCO,2020,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,04-03-2020,2009,USO ESTATAL,03-03-2025,
CEA1100,CHEVROLET,PLOMO,2019,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,13-03-2019,2010,USO ESTATAL,30-11-2024,
CEI1008,HYUNDAI,PLATEADO,2019,H1 2.5 DSL TM 12 PASAJEROS,CAMIONETA,02-09-2019,2011,USO PARTICULAR,30-09-2024,
CEI1018,CHEVROLET,PLATEADO,2016,LUV D-MAX 3.0L DIESEL CD TM 4X4 EXTREME,CAMIONETA,17-08-2016,2011,USO ESTATAL,29-12-2020,
CEI1070,CHEVROLET,PLATEADO,2019,D-MAX CRDI AC 3.0 CD 4X2 TM DIESEL,CAMIONETA,15-02-2019,2015,USO ESTATAL,14-02-2024,
CMA1000,CHEVROLET,BLANCO,2015,FRR 90L MOTOBOMBA 5.2 2P 4X2 TM DIESEL,VEHICULO ESPECIAL,01-09-2015,2015,USO PARTICULAR, ,
CMA1034,SUZUKI,PLATEADO,2020,GRAND VITARA SZ NEXT AC 2.4 5P 4X4 TM,VEH. UTILITARIO,14-08-2020,2016,USO PARTICULAR,31-05-2025,
CMA1047,CHEVROLET,PLOMO,2015,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,CAMIONETA,06-11-2015,2016,USO PARTICULAR,04-11-2020,
CMA1049,SUZUKI,PLOMO,2020,GRAND VITARA SZ NEXT AC 2.4 5P 4X4 TM,VEH. UTILITARIO,11-09-2020,2016,USO PARTICULAR,04-11-2020,
CMA1052,CHEVROLET,PLOMO,2015,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,CAMIONETA,06-11-2015,2016,USO PARTICULAR,04-11-2020,
CMA1058,CHEVROLET,PLATEADO,2016,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,CAMIONETA,18-02-2016,2016,USO PARTICULAR,16-02-2021,
CMA1063,INTERNATIONAL,NEGRO,2016,4700 FE 225HP 7.6 4X2 TM DIESEL CN,AUTOBUS,31-03-2016,2016,USO ESTATAL,30-03-2021,
CMA1340,HINO,AMARILLO,2016,GH8JGSD AC 7.7 2P 4X2 TM DIESEL CN,VEHICULO ESPECIAL,23-12-2016,2016,USO PARTICULAR,22-12-2021,
EA037D,HONDA,BLANCO,2017,XR250 TORNADO,MOTOCICLETA,05-09-2017,2012,USO PARTICULAR,04-09-2022,
EAA1414,ZHONGTONG,ANARANJADO,2015,LCK6129H AC 10.8 2P 4X2 TM DIESEL,AUTOBUS,17-03-2015,2015,USO PUBLICO,31-05-2019,
EAI0677,KENWORTH,BLANCO,2016,T800 ASOTRAPEC,UNIDAD DE CARGA Y REMOLQUE,24-03-2016,2012,USO PUBLICO,29-12-2020,
FA161D,HONDA,BLANCO,2019,XR250 TORNADO,MOTOCICLETA,21-03-2019,2012,USO ESTATAL,19-03-2024,
GBN1708,KIA,AMARILLO,2016,PREGIO,CAMIONETA,17-10-2016,2012,USO PUBLICO,30-12-2021,
GBN8217,BEIBEN,ANARANJADO,2015,2542S AC 11.6 2P 6X4 TM DIESEL,VEHICULO ESPECIAL,17-08-2015,2013,USO PARTICULAR,20-12-2023,
GBO2974,CHEVROLET,AMARILLO,2016,AVEO FAMILY STD 1.5 4P 4X2 TM,AUTOMOVIL,23-12-2016,2017,USO PUBLICO, ,
GBO5547,MERCEDES BENZ,BLANCO,2018,OF 1723 6.4 3P 4X2 TM DIESEL,AUTOBUS,23-11-2018,2018,USO PUBLICO,22-11-2023,
GPB1332,HYUNDAI,BLANCO,2016,H1 12P 2.5 TM DSL AC,CAMIONETA,12-10-2016,2012,USO PARTICULAR,11-10-2021,
GRF0077,CHEVROLET,BLANCO,2011,NHR CHASIS CABINADO,CAMION,14-06-2011,2009,USO PARTICULAR,11-10-2025,
GRG0121,MAZDA,BLANCO,2011,BT-50 CD 4X4 ACTION CO CRD 2.5,CAMIONETA,21-03-2011,2009,USO PARTICULAR, ,
GRH0411,CHEVROLET,ROJO,2020,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,11-02-2020,2009,USO PARTICULAR,29-02-2020,
GRL0122,HYUNDAI,VINO,2017,SANTA FE 7PAS 4X2 2.7 TM,VEH. UTILITARIO,23-03-2017,2009,USO PARTICULAR,30-03-2022,
GRW2124,HYUNDAI,CELESTE,2014,TQ 12 PAX 2.5 TM DSL AC,CAMIONETA,15-05-2014,2010,USO PARTICULAR,22-08-2023,
GRW4256,HYUNDAI,BLANCO,2013,GETZ 5P 1.4 AC,AUTOMOVIL,16-07-2013,2010,USO PARTICULAR,31-07-2017,
GRW9134,MAZDA,ROJO,2017,BT-50 CD 4X2 STD GAS 2.2 FL,CAMIONETA,03-05-2017,2010,USO PARTICULAR,02-05-2022,
GRX4017,TOYOTA,BLANCO,2019,CCT HILUX 4X4 CD DIESEL,CAMIONETA,15-11-2019,2010,USO PARTICULAR,31-08-2024,
GRX6302,CHEVROLET,ROJO,2017,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,21-03-2017,2010,USO PARTICULAR,25-04-2023,
GRX8416,HYUNDAI,PLOMO,2010,TUCSON IX GL 5P 4X2 2.0 TM AC,VEH. UTILITARIO,15-07-2010,2011,USO PARTICULAR,29-01-2024,
GRY1684,NISSAN,NEGRO,2017,TIIDA 1.6 AT,AUTOMOVIL,02-06-2017,2011,USO PARTICULAR,16-12-2023,
GRY2365,CHEVROLET,DORADO,2017,LUV D-MAX 3.0L DIESEL CS TM 4X4 AC,CAMIONETA,23-01-2017,2010,USO PARTICULAR,21-07-2025,
GSA1481,HYUNDAI,PLOMO,2019,H1 2.5 DSL TM 12 PASAJEROS,CAMIONETA,14-02-2019,2011,USO PARTICULAR,28-02-2025,
GSA7588,VOLKSWAGEN,NEGRO,2011,NEW BEETLE 1C15J4,AUTOMOVIL,19-05-2011,2010,USO PARTICULAR, ,
GSB8609,CHEVROLET,DORADO,2013,AVEO FAMILY 1.5L TM AC,AUTOMOVIL,30-07-2013,2012,USO PARTICULAR,11-07-2023,
GSC3530,TOYOTA,PLATEADO,2014,CCT HILUX 4X4 CD DIESEL,CAMIONETA,25-11-2014,2012,USO PARTICULAR,20-09-2022,
GSF6531,CHEVROLET,BLANCO,2012,SPARK 5P A/C 1.0L ACTIVO,AUTOMOVIL,25-08-2012,2012,USO PARTICULAR,21-03-2022,
GSG2707,CHEVROLET,PLATEADO,2012,AVEO FAMILY AC TM 1.5 4P 4X2,AUTOMOVIL,31-10-2012,2013,USO PARTICULAR,12-08-2024,
GSG6090,CHEVROLET,BLANCO,2012,LUV D-MAX CD OPTIMA TM 2.4 4X2,CAMIONETA,14-12-2012,2013,USO PARTICULAR,30-11-2016,
GSG7323,HINO,BLANCO,2015,FC9JJSA TM 5.12 2P 4X2,CAMION,07-05-2015,2013,USO PARTICULAR, ,
GSH6196,KIA,BLANCO,2016,K3000 BOX TM 3.0 2P 4X2,CAMION,09-09-2016,2013,USO PARTICULAR, ,
GSJ7575,MAZDA,BLANCO,2013,BT-50 STD FL 2.6 CS 4X4 TM,CAMIONETA,15-11-2013,2014,USO PARTICULAR,30-06-2017,
GSK3816,CHEVROLET,NEGRO,2019,AVEO FAMILY AC 1.5 4P 4X2 TM,AUTOMOVIL,11-04-2019,2014,USO PARTICULAR,31-07-2024,
GSM1206,CHEVROLET,PLATEADO,2014,N300 MOVE PASAJEROS FULL AC 1.2 5P 4X2 TM,VEH. UTILITARIO,10-07-2014,2015,USO PARTICULAR,31-07-2018,
GSN1575,NISSAN,CREMA,2014,TIIDA AIRBAG ABS AC 1.6 4P 4X2 TM,AUTOMOVIL,05-11-2014,2015,USO PARTICULAR,09-05-2022,
GSN5630,CHEVROLET,AMARILLO,2014,AVEO FAMILY STD 1.5 4P 4X2 TM,AUTOMOVIL,27-12-2014,2015,USO PUBLICO,18-10-2022,
GSN7929,HINO,BLANCO,2015,XZU640L-HKMLJ3 AC 4.0 2P 4X2 TM DIESEL,CAMION,12-02-2015,2015,USO PARTICULAR,11-02-2020,
