NUMERO_PLACA,MARCA,COLOR,ANIO DE MATRICULA,MODELO,CLASE,FECHA DE MATRICULA,ANIO,SERVICIO,FECHA DE CADUCIDAD
HBC7605,JAC,PLATEADO,2018,S3 AC 1.6 5P 4X2 TM,SIN VALOR,21-06-2018,2019,USO PARTICULAR,20-06-2023,
HBC7644,TOYOTA,PLATEADO,2018,YARIS HB AC 1.5 5P 4X2 TM,AUTOMOVIL,26-06-2018,2019,USO PARTICULAR,25-06-2023,
HC684S,MOTOR UNO,NEGRO,2020,NAZCA 250,MOTOCICLETA,04-02-2020,2013,USO PARTICULAR,02-02-2025,
HCN0879,CHEVROLET,ROJO,2018,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,25-10-2018,2009,USO PARTICULAR,31-10-2023,
HE145M,KINROAD RAPTOR,ROJO,2016,GO KART XT150GK-6,MOTOCICLETA,09-06-2016,2009,USO PARTICULAR,08-06-2021,
HE226E,SUKIDA,AZUL,2020,SKR 200S,MOTOCICLETA,23-09-2020,2011,USO PARTICULAR,22-09-2025,
HE352M,MOTOR UNO,ROJO,2020,ROCKET 125,MOTOCICLETA,14-10-2020,2011,USO PARTICULAR,13-10-2025,
HE458D,SKYGO,AZUL,2016,SG150-7,MOTOCICLETA,20-09-2016,2013,USO PARTICULAR,01-07-2022,
HE539D,BAJAJ,NEGRO,2018,DISCOVER 150 ES,MOTOCICLETA,06-07-2018,2013,USO PARTICULAR,05-07-2023,
AA051C,TVS,ROJO,2014,KING,MOTOCICLETA,11-04-2014,2010,USO PUBLICO, ,
AA053C,TVS,ROJO,2017,KING,MOTOCICLETA,10-10-2017,2010,USO PUBLICO, ,
AA235Y,SUZUKI,AZUL,2018,GSX150GP,MOTOCICLETA,14-06-2018,2018,USO PARTICULAR,13-06-2023,
AA466G,TVS,AZUL,2017,KING,MOTOCICLETA,19-07-2017,2017,USO PUBLICO,18-07-2022,
AA694A,TVS,ROJO,2018,KING,MOTOCICLETA,17-02-2018,2010,USO PARTICULAR, ,
AB417C,SUZUKI,NEGRO,2018,GSX125,MOTOCICLETA,20-06-2018,2018,USO PARTICULAR,19-06-2023,
ABA4830,CHEVROLET,BLANCO,2016,LUV D-MAX 3.0L DIESEL CD TM 4X2,CAMIONETA,16-09-2016,2010,USO PARTICULAR,15-09-2021,
ABA5986,HYUNDAI,PLATEADO,2016,SANTA FE 7PAS 4X4 2.4 TM,VEH. UTILITARIO,30-07-2016,2010,USO PARTICULAR,29-07-2021,
ABA9791,FOTON,BLANCO,2016,BJ1039V3JD3-1,CAMION,26-02-2016,2011,USO PARTICULAR, ,
ABB2718,SUZUKI,DORADO,2018,GRAND VITARA SZ 2.0L 5P TM 4X2,VEH. UTILITARIO,27-09-2018,2011,USO PARTICULAR,26-09-2023,
ABC8614,CHEVROLET,NEGRO,2019,SPARK 5P A/C 1.0L ACTIVO,AUTOMOVIL,17-05-2019,2012,USO PARTICULAR,15-05-2024,
ABD3651,CHEVROLET,NEGRO,2017,SAIL STD TM 1.4 4P 4X2,AUTOMOVIL,13-10-2017,2013,USO PARTICULAR,12-10-2022,
ABE7732,CHEVROLET,DORADO,2018,AVEO ACTIVO 1.6L 4P AC,AUTOMOVIL,07-02-2018,2011,USO PARTICULAR,06-02-2023,
ABF7411,KIA,PLATEADO,2019,CERATO STD AC 1.6 4P 4X2 TM,AUTOMOVIL,30-01-2019,2015,USO PARTICULAR,29-02-2024,
ABF8093,CHEVROLET,NEGRO,2018,AVEO FAMILY STD 1.5 4P 4X2 TM,AUTOMOVIL,14-06-2018,2016,USO PARTICULAR,13-06-2023,
ABG5337,KIA,ROJO,2020,RIO LX AC 1.4 4P 4X2 TM,AUTOMOVIL,11-08-2020,2019,USO PARTICULAR,10-08-2025,
ABG7430,HYUNDAI,VINO,2017,SANTA FE DM 7PAS AC 2.4 5P 4X2 TA,SIN VALOR,02-05-2017,2017,USO PARTICULAR,01-05-2022,
ABH1890,VOLKSWAGEN,BLANCO,2018,AMAROK BI TDI PLUS AC 2.0 CD 4X4 TM DIESEL,CAMIONETA,27-02-2018,2017,USO PARTICULAR,26-02-2023,
ABH2903,CHERY,NEGRO,2018,ARRIZO 3-A19 AC 1.5 4P 4X2 TM,AUTOMOVIL,21-05-2018,2019,USO PARTICULAR,20-05-2023,
ABH8240,NISSAN,BLANCO,2018,X-TRAIL ADVANCE CVT AC 2.5 5P 4X2 TA,VEH. UTILITARIO,13-06-2018,2019,USO PARTICULAR,12-06-2023,
AE192B,BAJAJ,ROJO,2017,PULSAR 200 NS,MOTOCICLETA,01-12-2017,2018,USO PARTICULAR,30-11-2022,
AE698B,LONCIN,BLANCO,2018,LX250-11,MOTOCICLETA,06-03-2018,2017,USO PARTICULAR,05-03-2023,
AE745B,YAMAHA,NEGRO,2018,FZN150,MOTOCICLETA,14-03-2018,2018,USO PARTICULAR,13-03-2023,
AGA0766,RENAULT,BLANCO,2019,LOGAN 1.6 M/T,AUTOMOVIL,16-12-2019,2009,USO PARTICULAR,14-12-2024,
AGE0132,MAZDA,ROJO,2019,BT-50 CS 4X4 STD GAS 2.6,CAMIONETA,23-12-2019,2009,USO PARTICULAR,21-12-2024,
AGJ0566,SUZUKI,NEGRO,2019,GRAND VITARA SZ 2.0L 5P TM 4X2,VEH. UTILITARIO,08-03-2019,2010,USO PARTICULAR,06-03-2024,
BBJ0297,CHEVROLET,PLATEADO,2019,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,17-10-2019,2010,USO PARTICULAR,15-10-2024,
CAA1455,CHEVROLET,AMARILLO,2020,SAIL STD 1.4 4P 4X2 TM,AUTOMOVIL,23-06-2020,2015,USO PUBLICO,22-06-2025,
CAA1578,FOTON,AMARILLO,2016,VIEW C2 NARROW BJ6539B1PDA-3 AC 2.8 4P 4X2 TM DIESEL,CAMIONETA,04-08-2016,2016,USO PUBLICO,03-08-2021,
CAF0355,CHEVROLET,BLANCO,2019,LUV D-MAX 2.4L CS TM 4X2,CAMIONETA,27-03-2019,2009,USO PARTICULAR,03-08-2025,
CAF0386,MAZDA,BLANCO,2020,BT-50 CS 4X2 RAUDA GAS 2.2,CAMIONETA,16-07-2020,2010,USO PARTICULAR,15-07-2025,
CAH0256,CHEVROLET,BLANCO,2020,FVR 23P CHASIS CABINADO,CAMION,09-07-2020,2009,USO PUBLICO,08-07-2025,
CAH0539,KENWORTH,ANARANJADO,2020,T800 CLASSIC,UNIDAD DE CARGA Y REMOLQUE,12-10-2020,2012,USO PUBLICO,31-10-2025,
CBA1075,HYUNDAI,VERDE,2015,TUCSON 5P 4X2 2.0 TM,SIN VALOR,18-12-2015,2010,USO PARTICULAR,16-12-2020,
CBA1220,CHEVROLET,VERDE,2016,GRAND VITARA 2.0L 5P DLX TM 4X2,VEH. UTILITARIO,26-09-2016,2010,USO PARTICULAR,25-09-2021,
CBA2029,NISSAN,CREMA,2016,SENTRA 1.6 M/T,AUTOMOVIL,05-12-2016,2011,USO PARTICULAR,04-12-2021,
CBA2197,RENAULT,AZUL,2018,LOGAN 1.6 M/T,AUTOMOVIL,05-03-2018,2012,USO PARTICULAR,04-03-2023,
CBA2721,CHEVROLET,AZUL,2016,VITARA 1.6L 3P STD TM 4X4,VEH. UTILITARIO,19-12-2016,2013,USO PARTICULAR,18-12-2021,
CBA2803,KIA,ROJO,2020,PICANTO R LX 1.0 4P 4X2 TM,AUTOMOVIL,22-07-2020,2014,USO PARTICULAR,21-07-2025,
CBA3047,NISSAN,BLANCO,2020,NP300 FRONTIER CABINA SIMPLE 4X2 2.4 MT 16V,CAMIONETA,04-03-2020,2014,USO PARTICULAR,31-08-2025,
CBL0977,RENAULT,NEGRO,2016,LOGAN 1.6 M/T,AUTOMOVIL,23-11-2016,2009,USO PARTICULAR,22-11-2021,
CBO0943,SUZUKI,PLOMO,2020,GRAND VITARA SZ 2.0L 5P TM 4X2,VEH. UTILITARIO,29-07-2020,2009,USO PARTICULAR,28-07-2025,
CC0388,TOYOTA,NEGRO,2015,HIGHLANDER AC 3.5 5P 4X4 TA,VEH. UTILITARIO,07-08-2015,2010,CUERPO CONSULAR,05-08-2020,
CEA0253,SUZUKI,PLATEADO,2018,GRAND VITARA SZ 2.7L V6 5P TM 4X4,VEH. UTILITARIO,13-09-2018,2009,USO ESTATAL,30-04-2023,
CEA0257,CHEVROLET,PLATEADO,2019,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,11-07-2019,2009,USO ESTATAL,09-07-2024,
CEA1058,CHEVROLET,BLANCO,2016,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,07-12-2016,2009,USO ESTATAL,30-12-2019,
CEA1059,CHEVROLET,BLANCO,2020,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,12-10-2020,2009,USO PARTICULAR,31-05-2020,
CEA1064,CHEVROLET,BLANCO,2020,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,25-08-2020,2009,USO ESTATAL,01-05-2022,
CEA1073,CHEVROLET,BLANCO,2020,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,03-08-2020,2009,USO ESTATAL,11-04-2022,
CEA1077,CHEVROLET,BLANCO,2020,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,18-08-2020,2009,USO PARTICULAR,22-08-2022,
CEI1010,NISSAN DIESEL,AMARILLO,2016,PKC212EHLB,VEHICULO ESPECIAL,24-11-2016,2010,USO ESTATAL,30-12-2019,
CEI1065,CHEVROLET,PLATEADO,2017,D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL,CAMIONETA,28-06-2017,2015,USO ESTATAL,27-06-2022,
CEI1071,SUZUKI,NEGRO,2019,GRAND VITARA SZ FL AC 2.0 5P 4X2 TM,VEH. UTILITARIO,27-02-2019,2014,USO ESTATAL,28-02-2019,
CEI1084,MERCEDES BENZ,BLANCO,2015,315CDI AC 2.1 5P 4X2 TM DIESEL,VEHICULO ESPECIAL,02-10-2015,2013,USO ESTATAL, ,
CEI1101,MERCEDES BENZ,BLANCO,2019,315CDI AC 2.1 5P 4X2 TM DIESEL,VEHICULO ESPECIAL,06-03-2019,2013,USO ESTATAL,29-02-2024,
CMA0140,SUZUKI,NEGRO,2020,GRAND VITARA SZ 2.0L 5P TM 4X4,VEH. UTILITARIO,13-08-2020,2011,USO PARTICULAR,30-12-2019,
CMA1046,CHEVROLET,BLANCO,2020,NPR 75H 5.2 2P 4X2 TM DIESEL CN,CAMION,08-07-2020,2016,USO ESTATAL,03-11-2020,
CMA1061,JAC,BLANCO,2016,HFC1035KRD AC 2.8 4P 4X2 TM DIESEL,CAMION,02-03-2016,2016,USO ESTATAL,01-03-2021,
EA003D,SUZUKI,ROJO,2015,TS185,MOTOCICLETA,25-06-2015,2009,USO ESTATAL, ,
EAA1018,KENWORTH,ROJO,2017,T800 6X4,UNIDAD DE CARGA Y REMOLQUE,08-09-2017,2013,USO PUBLICO,07-09-2022,
EAI0772,CHEVROLET,BLANCO,2017,FVR 34K CAMION CHASIS CABINADO,CAMION,06-12-2017,2013,USO PUBLICO,31-03-2022,
EBA2524,KIA,BLANCO,2018,K3000 3.0 2P 4X2 TM DIESEL,CAMION,17-05-2018,2015,USO PARTICULAR,16-05-2023,
GBI0447,HYUNDAI,AMARILLO,2018,ACCENT 1.4 GAA 4D TM BLS4A5615 DD271,AUTOMOVIL,09-05-2018,2009,USO PUBLICO,31-08-2023,
GBN3805,CHEVROLET,AMARILLO,2018,CHEVYTAXI STD,AUTOMOVIL,15-08-2018,2011,USO PUBLICO,30-06-2023,
GBN4391,FREIGHTLINER,BLANCO,2017,CL120DD,UNIDAD DE CARGA Y REMOLQUE,09-02-2017,2013,USO PUBLICO,30-12-2022,
GBN5090,CHEVROLET,BLANCO,2018,NPR 75H 5.2 2P 4X2 TM DIESEL CN,CAMION,19-09-2018,2014,USO PUBLICO,30-11-2023,
GBN6068,VOLKSWAGEN,AZUL,2018,17210 OD AC 6.5 2P 4X2 TM DIESEL,AUTOBUS,21-12-2018,2013,USO PUBLICO,30-09-2023,
GBN8055,HINO,BLANCO,2020,FC4JJUA,CAMION,31-07-2020,2010,USO PUBLICO,30-06-2025,
GBN8934,KIA,AMARILLO,2015,PREGIO,CAMIONETA,24-03-2015,2013,USO PUBLICO,31-05-2025,
GBO2203,HINO,AMARILLO,2017,FM8JLSD AC 7.7 2P 6X4 TM DIESEL,VEHICULO ESPECIAL,08-06-2017,2016,USO PUBLICO,07-06-2022,
GBO2596,NISSAN,AMARILLO,2017,VERSA AC 1.6 4P 4X2 TM,AUTOMOVIL,31-08-2017,2017,USO PUBLICO,30-08-2022,
GBO3728,CHEVROLET,BLANCO,2018,FVZ 34P AC 7.8 2P 6X4 TM DIESEL,VEHICULO ESPECIAL,11-05-2018,2016,USO PUBLICO,10-05-2023,
GPB2680,CHEVROLET,BLANCO,2019,D-MAX CRDI 3.0 CD 4X2 TM DIESEL,CAMIONETA,16-05-2019,2014,USO PARTICULAR,14-05-2024,
GQU0697,CHEVROLET,PLATEADO,2015,SPARK 5P A/C 1.0L ACTIVO,AUTOMOVIL,27-08-2015,2009,USO PARTICULAR,30-08-2021,
GQW0727,CHEVROLET,BLANCO,2011,SPARK 5P A/C 1.0L ACTIVO,AUTOMOVIL,20-08-2011,2009,USO PARTICULAR,31-12-2015,
GQZ0096,NISSAN,AMARILLO,2017,SENTRA 1.6 M/T,AUTOMOVIL,28-11-2017,2009,USO PUBLICO,27-11-2022,
GRF0724,CHEVROLET,AZUL,2017,AVEO EMOTION 1.6L GLS,AUTOMOVIL,30-05-2017,2009,USO PARTICULAR,29-05-2022,
GRG0087,CHEVROLET,BLANCO,2016,NHR CHASIS CABINADO,CAMION,30-08-2016,2009,USO PARTICULAR,30-12-2019,
GRK0462,HINO,BLANCO,2017,XZU423L-HKMRD,CAMION,22-03-2017,2009,USO PUBLICO,30-03-2022,
GRS0860,HINO,BLANCO,2016,FM1JRUA,VEHICULO ESPECIAL,24-08-2016,2010,USO PUBLICO,23-08-2021,
GRW2463,CHEVROLET,BLANCO,2019,LUV D-MAX 3.0L DIESEL CS TM 4X4,CAMIONETA,29-04-2019,2010,USO PARTICULAR,30-04-2024,
GRW4440,KIA,AMARILLO,2017,RIO STYLUS LS AC,AUTOMOVIL,17-01-2017,2010,USO PUBLICO,30-12-2021,
GRW7465,MAZDA,PLOMO,2017,BT-50 CD 4X2 ACTION GAS 2.6 FL,CAMIONETA,29-06-2017,2010,USO PARTICULAR,28-06-2022,
GRX6396,CHEVROLET,NEGRO,2010,GRAND VITARA SPORT 1.6L 3P AC TM 4X4,VEH. UTILITARIO,21-06-2010,2011,USO PARTICULAR, ,
GRX9570,CHEVROLET,DORADO,2019,LUV D-MAX 2.5L DIESEL CS TM 4X2,CAMIONETA,12-08-2019,2010,USO PARTICULAR,30-12-2019,
GSB4903,HYUNDAI,PLATEADO,2020,I10 CM 5DR 1.1 AC,AUTOMOVIL,20-10-2020,2012,USO PARTICULAR,28-04-2020,
GSD8125,NISSAN,AZUL,2016,NP300 FRONTIER CABINA SIMPLE 4X2 2.4 MT 16V,CAMIONETA,06-06-2016,2012,USO PARTICULAR,29-06-2021,
GSE1747,HYUNDAI,BLANCO,2018,H1 12P 2.5 TM DSL AC,CAMIONETA,26-04-2018,2012,USO PARTICULAR,30-08-2021,
GSF7587,CHEVROLET,BLANCO,2015,N300 MOVE PASAJEROS FULL AC 1.2 4P 4X2 TM,CAMIONETA,03-08-2015,2013,USO PARTICULAR, ,
GSF8366,CHEVROLET,ROJO,2014,SAIL TM 1.4 4P 4X2 AC,AUTOMOVIL,17-05-2014,2013,USO PARTICULAR,10-08-2019,
GSG2745,KIA,PLOMO,2012,SPORTAGE LX,VEH. UTILITARIO,31-10-2012,2013,USO PARTICULAR,19-10-2025,
GSG4854,HYUNDAI,BLANCO,2015,I10 AC TM 1.1 5P 4X2,AUTOMOVIL,13-10-2015,2013,USO PARTICULAR,15-01-2024,
GSG7106,CHEVROLET,BLANCO,2013,FVZ 34T CAMION AC 7.8 2P 6X4 TM DIESEL,CAMION,27-12-2013,2013,USO PUBLICO,24-07-2022,
GSG9614,CHEVROLET,PLATEADO,2013,SAIL TM 1.4 4P 4X2 AC,AUTOMOVIL,31-01-2013,2013,USO PARTICULAR, ,
GSH2676,KIA,PLATEADO,2017,SPORTAGE LX,VEH. UTILITARIO,01-08-2017,2013,USO PARTICULAR,27-07-2024,
GSH8067,CHEVROLET,VINO,2013,AVEO EMOTION ADVANCE GLS TM 1.6 4P 4X2,AUTOMOVIL,27-04-2013,2013,USO PARTICULAR, ,
GSI6600,MAZDA,NEGRO,2016,BT-50 STD FL 2.2 CD 4X2 TM,CAMIONETA,19-12-2016,2014,USO PARTICULAR,29-11-2022,
GSI6646,SINOTRUK,BLANCO,2013,ZZ3257N3247B AC 9.7 2P 6X4 TM DIESEL,SIN VALOR,17-07-2013,2013,USO PARTICULAR, ,
GSJ5473,QMC,BLANCO,2013,CRONOS 2.5 TM 3.3 2P 4X2,CAMION,21-10-2013,2013,USO PARTICULAR,30-04-2025,
GSJ7349,CHEVROLET,BLANCO,2017,FRR 90L 5.2 2P 4X2 TM DIESEL,CAMION,14-11-2017,2014,USO PARTICULAR,31-10-2022,
GSJ9352,CHEVROLET,NEGRO,2013,LUV D-MAX CD OPTIMA TM 2.4 4X2,CAMIONETA,11-12-2013,2013,USO PARTICULAR, ,
GSL1327,MITSUBISHI,BLANCO,2014,CANTER FE85PG6SLNR 3.9 2P 4X2 TM DIESEL,CAMION,10-04-2014,2014,USO PARTICULAR,31-08-2023,
GSL9438,CHEVROLET,BLANCO,2014, D-MAX CRDI 3.0 CD 4X4 TM DIESEL,CAMIONETA,21-07-2014,2015,USO PARTICULAR,18-12-2021,
GSM2086,MAZDA,BLANCO,2014,BT-50 STD FL 2.2 CS 4X2 TM,CAMIONETA,30-07-2014,2014,USO PARTICULAR,29-07-2019,
GSM3904,CHANGHE,NEGRO,2014,CH7142 C AC 1.4 5P 4X2 TM,AUTOMOVIL,08-09-2014,2014,USO PARTICULAR,07-12-2022,
GSM4699,TOYOTA,DORADO,2014,FORTUNER AC 2.7 5P 4X4 TM,VEH. UTILITARIO,19-08-2014,2015,USO PARTICULAR,31-10-2025,
GSM9672,CHEVROLET,BLANCO,2019,FTR 34P 7.8 2P 4X2 TM DIESEL CN,CAMION,16-04-2019,2015,USO PARTICULAR,31-03-2024,
GSN3205,KIA,AZUL,2019,RIO R EX 1.4 5P 4X2 TM,AUTOMOVIL,27-06-2019,2015,USO PARTICULAR,10-12-2019,
GSN5178,CHEVROLET,BLANCO,2019,AVEO FAMILY STD 1.5 4P 4X2 TM,AUTOMOVIL,18-12-2019,2015,USO PARTICULAR,16-12-2024,
GSN6221,HYUNDAI,BLANCO,2019,TUCSON IX STD 2.0 5P 4X2 TM,AUTOMOVIL,10-06-2019,2015,USO PARTICULAR,29-12-2019,
GSN6461,HYUNDAI,PLOMO,2020,H1 12PAS AC 2.5 5P 4X2 TM DIESEL,CAMIONETA,10-02-2020,2015,USO PARTICULAR,28-02-2025,
GSO9605,CHEVROLET,BLANCO,2019,N300 MOVE PASAJEROS FULL AC 1.2 5P 4X2 TM,CAMIONETA,24-07-2019,2015,USO PARTICULAR,30-06-2025,
GSR1123,SUZUKI,DORADO,2016,GRAND VITARA SZ NEXT AC 2.4 5P 4X2 TA,SIN VALOR,21-01-2016,2016,USO PARTICULAR,19-01-2021,
GSR7463,KIA,AZUL,2016,OPTIMA AC 2.0 4P 4X2 TA HYBRID,AUTOMOVIL,23-09-2016,2017,USO PARTICULAR,22-09-2021,
GSR9233,CHEVROLET,PLOMO,2016,D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL,CAMIONETA,30-11-2016,2017,USO PARTICULAR,29-11-2021,
GST2929,FAW,PLOMO,2017,CA6440A45 AC 1.5 5P 4X2 TM,CAMIONETA,24-01-2017,2017,USO PARTICULAR,23-01-2022,
GST9036,RENAULT,BLANCO,2017,DUSTER AC 1.6 5P 4X2 TM,VEH. UTILITARIO,11-05-2017,2017,USO PARTICULAR,10-05-2022,
GSV1267,TOYOTA,CAFE,2017,NEW YARIS SD CVT AC 1.5 4P 4X2 TA,AUTOMOVIL,06-10-2017,2018,USO PARTICULAR,05-10-2022,
GSV2032,GREAT WALL,NEGRO,2017,WINGLE AC 2.4 CD 4X2 TM,CAMIONETA,06-10-2017,2018,USO PARTICULAR,05-10-2022,
GSV2983,HYUNDAI,PLOMO,2017,ACCENT 1.4 4P 4X2 TM,AUTOMOVIL,19-10-2017,2018,USO PARTICULAR,18-10-2022,
GSV6578,HYUNDAI,AZUL,2017,GRAND I10 AC 1.2 4P 4X2 TM,AUTOMOVIL,07-12-2017,2018,USO PARTICULAR,06-12-2022,
GSV8233,ZOTYE,ROJO,2017,Z100 AC 1.0 5P 4X2 TM,AUTOMOVIL,29-12-2017,2018,USO PARTICULAR,28-12-2022,
GSV8980,SUZUKI,PLATEADO,2017,GRAND VITARA SZ AC 2.0 5P 4X2 TM,VEH. UTILITARIO,28-12-2017,2018,USO PARTICULAR,27-12-2022,
GSX9706,CHEVROLET,PLOMO,2018,SPARK GT AC 1.2 5P 4X2 TM,AUTOMOVIL,26-04-2018,2019,USO PARTICULAR,10-02-2025,
GSY3185,CHERY,ROJO,2018,A13T TIGGO2 AC 1.5 5P 4X2 TM,SIN VALOR,21-06-2018,2019,USO PARTICULAR,20-06-2023,
GSY3320,CHERY,ROJO,2018,ARRIZO 3-A19 AC 1.5 4P 4X2 TM,AUTOMOVIL,06-07-2018,2019,USO PARTICULAR,05-07-2023,
GSZ2340,CHEVROLET,VINO,2018,SPARK GT AC 1.2 5P 4X2 TM,AUTOMOVIL,14-05-2018,2019,USO PARTICULAR,13-05-2023,
GSZ3320,CHEVROLET,BLANCO,2018,NLR 55E 2.8 2P 4X2 TM DIESEL,CAMION,05-06-2018,2018,USO PARTICULAR,04-06-2023,
GSZ3756,KIA,AZUL,2018,RIO LX AC 1.4 4P 4X2 TM,AUTOMOVIL,17-05-2018,2019,USO PARTICULAR,12-12-2024,
GSZ3775,KIA,PLOMO,2018,PICANTO EX AC 1.2 4P 4X2 TM,AUTOMOVIL,17-05-2018,2019,USO PARTICULAR,16-05-2023,
GSZ4349,CHEVROLET,NEGRO,2018,AVEO FAMILY STD 1.5 4P 4X2 TM,AUTOMOVIL,29-05-2018,2019,USO PARTICULAR,28-05-2023,
GSZ5605,HYUNDAI,PLOMO,2018,CRETA GS AC 1.6 5P 4X2 TM,VEH. UTILITARIO,12-06-2018,2019,USO PARTICULAR,11-06-2023,
GSZ6684,NISSAN,BLANCO,2018,X-TRAIL ADVANCE CVT AC 2.5 5P 4X2 TA,VEH. UTILITARIO,26-06-2018,2019,USO PARTICULAR,12-02-2025,
GSZ7016,CHEVROLET,PLOMO,2018,SPARK GT AC 1.2 5P 4X2 TM,AUTOMOVIL,27-06-2018,2019,USO PARTICULAR,26-06-2023,
GSZ7167,GREAT WALL,PLOMO,2018,WINGLE 5 AC 2.2 CD 4X2 TM,CAMIONETA,04-07-2018,2019,USO PARTICULAR,03-07-2023,
HA618F,SUZUKI,AZUL,2018,AX100,MOTOCICLETA,06-02-2018,2009,USO PARTICULAR,30-09-2023,
HAA2259,HYUNDAI,AMARILLO,2019,ACCENT 1.4 4P 4X2 TM,AUTOMOVIL,19-09-2019,2014,USO PUBLICO,17-09-2024,
HAA2870,HINO,BLANCO,2019,AK8JRSA 7.7 2P 4X2 TM DIESEL,AUTOBUS,16-05-2019,2016,USO PUBLICO,14-05-2024,
HAA3101,CHEVROLET,AMARILLO,2017,AVEO FAMILY STD 1.5 4P 4X2 TM,AUTOMOVIL,22-08-2017,2018,USO PUBLICO,21-08-2022,
HB533T,MOTOR UNO,NEGRO,2019,SK200 FX200,MOTOCICLETA,05-04-2019,2010,USO PARTICULAR,30-04-2024,
HBA3167,CHEVROLET,AZUL,2017,SPARK 5P STD 1.0L ACTIVO,AUTOMOVIL,15-08-2017,2010,USO PARTICULAR,14-08-2022,
HBA5078,KIA,ROJO,2017,RIO 1.4L LX 4P,AUTOMOVIL,22-05-2017,2011,USO PARTICULAR,21-05-2022,
HBA5544,TOYOTA,PLOMO,2019,CCT HILUX 4X4 CD DIESEL,CAMIONETA,31-05-2019,2011,USO PARTICULAR,29-05-2024,
HBA6365,HYUNDAI,BLANCO,2019,H1 2.5 DSL TM 12 PASAJEROS,CAMIONETA,02-04-2019,2011,USO PARTICULAR,31-03-2024,
HBA7679,NISSAN,PLOMO,2011,NAVARA DOBLE CABINA 4X4 2.5 SE MT DIESEL,CAMIONETA,20-05-2011,2011,USO PARTICULAR, ,
HBA8831,NISSAN,BLANCO,2019,SENTRA 1.6 M/T,AUTOMOVIL,28-03-2019,2012,USO PARTICULAR,26-03-2024,
HBA9907,HYUNDAI,BLANCO,2016,GETZ GL GXX 5D TM DB496,AUTOMOVIL,03-08-2016,2009,USO PARTICULAR,29-12-2020,
HBB1217,HINO,BLANCO,2017,GD8JLSA,CAMION,30-06-2017,2012,USO PUBLICO,29-06-2022,
HBB1952,CHEVROLET,NEGRO,2016,LUV D-MAX TM 3.0 4X4 DIESEL CD EXTREME,CAMIONETA,11-03-2016,2013,USO PARTICULAR,04-02-2025,
HBB2441,TOYOTA,NEGRO,2018,ETT HILUX 4X2 CD TM 2.7 4P,CAMIONETA,07-02-2018,2013,USO PARTICULAR,06-02-2023,
HBB2500,CHEVROLET,VINO,2017,SAIL STD TM 1.4 4P 4X2,AUTOMOVIL,23-03-2017,2013,USO PARTICULAR,22-03-2022,
HBB3330,MAZDA,AZUL,2017,BT-50 STD FL 2.2 CS 4X2 TM,CAMIONETA,05-07-2017,2014,USO PARTICULAR,04-07-2022,
HBB3605,HINO,BLANCO,2016,GD8JLSA AC 7.7 2P 4X2 TM DIESEL,CAMION,08-09-2016,2014,USO PARTICULAR,29-06-2022,
HBB5356,SUZUKI,BLANCO,2020,GRAND VITARA SZ 2.0L 5P TM 4X2 FL,VEH. UTILITARIO,22-07-2020,2012,USO PARTICULAR,31-07-2020,
HBB5613,FORD,NEGRO,2017,F150 RC 4X2,CAMIONETA,24-04-2017,2012,USO PARTICULAR,23-04-2022,
HBB5945,CHEVROLET,ROJO,2016,D-MAX DOHC AC 2.4 CD 4X2 TM,CAMIONETA,15-09-2016,2015,USO PARTICULAR,14-09-2021,
HBB6099,TOYOTA,PLOMO,2016,ETT HILUX 4X2 CD TM 2.7 4P,CAMIONETA,18-03-2016,2013,USO PARTICULAR,17-03-2021,
HBB7093,MAZDA,BLANCO,2017,BT-50 STD FL 2.2 CD 4X2 TM,CAMIONETA,09-06-2017,2014,USO PUBLICO,08-06-2022,
HBB7432,NISSAN,PLOMO,2020,TIIDA ENTRY AC 1.6 4P 4X2 TM,AUTOMOVIL,06-03-2020,2014,USO PARTICULAR,05-03-2025,
HBB8107,MAZDA,BLANCO,2018,BT-50 STD FL 2.2 CD 4X2 TM,CAMIONETA,14-08-2018,2014,USO PUBLICO,31-08-2023,
HBB8144,TOYOTA,PLOMO,2018,FORTUNER AC 2.7 5P 4X4 TM,VEH. UTILITARIO,27-11-2018,2014,USO PARTICULAR,26-11-2023,
HBB9185,CHEVROLET,BLANCO,2016,NLR 55E 2.8 2P 4X2 TM DIESEL CN,CAMION,14-04-2016,2015,USO PARTICULAR,05-05-2024,
HBC1756,TOYOTA,DORADO,2018,HILUX 2.7 CD 4X2 TM,CAMIONETA,09-04-2018,2015,USO PARTICULAR,08-04-2023,
HBC2316,TOYOTA,BLANCO,2019,NEW RAV4 AC 2.0 5P 4X2 TM,VEH. UTILITARIO,16-06-2019,2015,USO PARTICULAR,31-07-2024,
